carné, nombre y apellidos, correo, telefono, nickname, tipo de estudiante, nota promedio(exámenes), nota promedio(quices), nota promedio(tareas), proyecto1, proyecto2, proyecto3
2018147004,Alejandro V,fv@outllok.com,71086117,es ,B,78,12,54,32,80,80
2019047658,Alejandro Vásquez,algo@algo1.com,871232513,Hey,A,21,45,21,54,12,56
2018147004,Alguien con Apellido,qwe@gmail.com,71086117,hes,B,78,12,54,32,80,80
2019047658,nombre2,algo@algo2,871232513,hey,A,67,78,66,66,89,78
2019047658,nombre3,algo@algo3,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre4,algo@algo4,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre5,algo@algo5,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre6,algo@algo6,871232513,hey,A,56,45,56,76,87,98
2019047658,nombre7,algo@algo7,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre8,algo@algo8,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre9,algo@algo9,871232513,hey,A,21,45,21,54,12,56
2019047658,nombre10,algo@algo10,871232513,hey,A,21,45,21,54,12,56
